codeindyr,code,country,year,indicator,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper,adb,afr,asd,bps,bti,ccr,ebr,eiu,eqi,frh,gcb,gcs,gii,gwp,her,hum,hrm,ifd,ijt,ipd,irp,lbo,msi,obi,pia,prc,prs,rsf,tpr,vab,vdm,wbs,wcy,wjp,wmo,scalemean,scalesd,country_iso
BHScc1996,BHS,"Bahamas, The",1996,cc,1.1568101644515991,0.41814500093460083,2,83.87096405029297,69.89247131347656,93.01074981689453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666666666666666,..,..,..,..,..,..,..,0.875,0.0133735816925764,0.9364799857139589,
CPVcc1996,CPV,Cape Verde,1996,cc,1.143337368965149,0.43947985768318176,1,83.33333587646484,69.3548355102539,93.01074981689453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.801431688703748,..,..,..,..,0.0133735816925764,0.9364799857139589,
ZARcc1996,ZAR,"Congo, Dem. Rep.",1996,cc,-1.6478519439697266,0.3159140348434448,3,0,0,12.365591049194336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,0.17067101579215,..,..,..,0.125,0.0133735816925764,0.9364799857139589,
COGcc1996,COG,"Congo, Rep.",1996,cc,-0.8607403039932251,0.3159140348434448,3,23.1182804107666,3.225806474685669,45.69892501831055,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,0.358483863522118,..,..,..,0.125,0.0133735816925764,0.9364799857139589,
EGYcc1996,EGY,"Egypt, Arab Rep.",1996,cc,-0.4722543954849243,0.24490652978420258,5,38.709678649902344,19.892473220825195,53.7634391784668,..,..,..,..,..,..,..,0.25,..,..,..,0.8333333333333334,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333333333333,..,..,..,0.146032697661282,..,..,..,0.375,0.0133735816925764,0.9364799857139589,
GMBcc1996,GMB,"Gambia, The",1996,cc,-0.3741952180862427,0.3159140348434448,3,43.54838562011719,19.354839324951172,60.752689361572266,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,0.413409938167098,..,..,..,0.375,0.0133735816925764,0.9364799857139589,
HKGcc1996,HKG,"Hong Kong SAR, China",1996,cc,1.4448941946029663,0.2049514353275299,6,89.78494262695312,81.18279266357422,93.01074981689453,..,..,..,..,..,..,..,0.75,..,..,..,0.8733333333333334,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6970000000000001,0.8333333333333334,..,..,..,..,..,0.7085,..,0.75,0.0133735816925764,0.9364799857139589,
IRNcc1996,IRN,"Iran, Islamic Rep.",1996,cc,-0.4806067645549774,0.26207658648490906,4,37.63440704345703,18.817203521728516,54.30107498168945,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666666666666666,..,..,..,0.365472939049576,..,..,..,0.5,0.0133735816925764,0.9364799857139589,
JEYcc1996,JEY,"Jersey, Channel Islands",1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
PRKcc1996,PRK,"Korea, Dem. Rep.",1996,cc,-1.284346580505371,0.3159140348434448,3,4.838709831237793,0,25.80645179748535,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333333333333,..,..,..,0.31363527566439,..,..,..,0,0.0133735816925764,0.9364799857139589,
KORcc1996,KOR,"Korea, Rep.",1996,cc,0.38219743967056274,0.1886216253042221,7,65.59140014648438,59.13978576660156,74.73118591308594,..,..,..,..,..,..,..,0.5,..,..,..,0.4483333333333333,..,..,..,..,..,..,..,..,..,..,..,..,..,0.229,0.8333333333333334,..,..,..,0.738011884998466,..,0.4493,..,0.5,0.0133735816925764,0.9364799857139589,
KSVcc1996,KSV,Kosovo,1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
LAOcc1996,LAO,Lao PDR,1996,cc,-0.7228339314460754,0.34050697088241577,2,28.4946231842041,4.838709831237793,50.537635803222656,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.245101045111075,..,..,..,0.375,0.0133735816925764,0.9364799857139589,
MACcc1996,MAC,"Macao SAR, China",1996,cc,0.4216510057449341,0.480888694524765,1,69.3548355102539,44.086021423339844,84.40859985351562,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.625,0.0133735816925764,0.9364799857139589,
FSMcc1996,FSM,"Micronesia, Fed. Sts.",1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
ANTcc1996,ANT,Netherlands Antilles (former),1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
KNAcc1996,KNA,St. Kitts and Nevis,1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
LCAcc1996,LCA,St. Lucia,1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
VCTcc1996,VCT,St. Vincent and the Grenadines,1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
STPcc1996,STP,São Tomé and Principe,1996,cc,0.40166717767715454,0.34050697088241577,2,66.66666412353516,51.07526779174805,81.18279266357422,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.671997775203134,..,..,..,0.5,0.0133735816925764,0.9364799857139589,
TWNcc1996,TWN,"Taiwan, China",1996,cc,0.5808210372924805,0.1886216253042221,7,73.11827850341797,62.90322494506836,80.10752868652344,..,..,..,..,..,..,..,0.5,..,..,..,0.6183333333333333,..,..,..,..,..,..,..,..,..,..,..,..,..,0.404,0.6666666666666666,..,..,..,0.61178360907313,..,0.4416,..,0.75,0.0133735816925764,0.9364799857139589,
VENcc1996,VEN,"Venezuela, RB",1996,cc,-0.8629471063613892,0.21032509207725525,6,22.580644607543945,7.526881694793701,35.48387145996094,..,..,..,..,..,..,..,0,..,..,..,0.3066666666666666,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,0.310804021629683,..,0.1,..,0.25,0.0133735816925764,0.9364799857139589,
VIRcc1996,VIR,Virgin Islands (U.S.),1996,cc,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0133735816925764,0.9364799857139589,
WBGcc1996,WBG,West Bank and Gaza,1996,cc,0.04149150848388672,0.34050697088241577,2,59.13978576660156,35.48387145996094,73.11827850341797,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.714368241433645,..,..,..,0.25,0.0133735816925764,0.9364799857139589,
